Agency,Neighborhood,Price,link,sq_mtrs,Bedrooms,Bathrooms
Buy Rent Shelters,"General Mathenge, Westlands","KSh 155,000",/listings/4-bedroom-apartment-for-rent-general-mathenge-3468257,4,4,4
Kenya Classic Homes,"Kilimani, Dagoretti North","KSh 100,000",/listings/3-bedroom-apartment-for-rent-kilimani-3419825,300,3,4
Absolute Estate Agents,"Hatheru Rd,, Lavington, Dagoretti North","KSh 75,000",/listings/3-bedroom-apartment-for-rent-lavington-3418990,3,3,5
A1 Properties Limited,"Kilimani, Dagoretti North","KSh 135,000",/listings/3-bedroom-apartment-for-rent-kilimani-2-3459155,227,3,4
Pmc Estates Limited,"Imara Daima, Embakasi","KSh 50,000",/listings/3-bedroom-apartment-for-rent-imara-daima-3441143,3,3,
Lizmor Properties,"Waiyaki Way, Westlands","KSh 150,000",/listings/furnished-2-bedroom-apartment-for-rent-waiyaki-way-3427202,2,2,
Mambo Properties Enterprise,"Off Denis Pritt, Kilimani, Dagoretti North","KSh 100,000",/listings/2-bedroom-apartment-for-rent-kilimani-3456073,14,2,3
Wealthlink Realtors Ltd,"Westlands Area, Westlands","KSh 100,000",/listings/3-bedroom-apartment-for-rent-westlands-area-2-3452240,186,3,3
Pmc Estates Limited,"Thika Road, Thika Road","KSh 85,000",/listings/4-bedroom-apartment-for-rent-thika-road-3463559,4,4,
Naftal Properties,"Kilimani, Dagoretti North","KSh 65,000",/listings/2-bedroom-apartment-for-rent-kilimani-3465717,2,2,2
Dakima Home International,"Raphta rd, Rhapta Road, Westlands","KSh 95,000",/listings/2-bedroom-apartment-for-rent-rhapta-road-3465099,2,2,2
Opus Properties,"Thindigua, Thindigua","KSh 75,000",/listings/3-bedroom-apartment-for-rent-thindigua-3447542,3,3,3
Realty Plus,"Kileleshwa, Dagoretti North","KSh 65,000",/listings/3-bedroom-apartment-for-rent-kileleshwa-2-3435223,3,3,2
Pam Golding Properties,"Riverside, Westlands","KSh 85,000",/listings/1-bedroom-apartment-for-rent-riverside-3458739,1,1,1
Yellow Market,"Riverside Drive, Riverside, Westlands","KSh 220,000",/listings/3-bedroom-apartment-for-rent-riverside-2-3458161,3,3,3
Hyra Real Estate Ltd,"Parklands, Westlands","KSh 120,000",/listings/3-bedroom-apartment-for-rent-parklands-3467575,3,3,3
Dunhill Consulting Limited,"Waiyaki Way, Westlands","KSh 50,000",/listings/studio-apartment-for-rent-waiyaki-way-3465273,0,0,1
Green Knight Properties,"Riara, Lavington, Dagoretti North","KSh 85,000",/listings/2-bedroom-apartment-for-rent-lavington-3462317,2,2,2
Kitheka Musyoka,"nyali road, nyali road, Nyali Area, Nyali","KSh 12,000",/listings/1-bedroom-apartment-for-rent-nyali-area-3380383,90,1,1
Real Management Services 2002Limited,"Sports Road, Waiyaki Way, Westlands","KSh 13,000",/listings/studio-apartment-for-rent-waiyaki-way-3424611,0,0,
Estate Masters Limited,"MUIRU, Ruaka, Kiambaa","KSh 13,000",/listings/2-bedroom-apartment-for-rent-ruaka-3467218,2,2,1
Homekenya24,"Ruaka, Kiambaa","KSh 13,000",/listings/studio-apartment-for-rent-ruaka-3464104,0,0,1
Kitheka Musyoka,"fisharies, mtambo bamburi road, Bamburi, Kisauni","KSh 13,000",/listings/1-bedroom-apartment-for-rent-bamburi-3467461,1,1,1
Estate Masters Limited,"SHULE, Ruaka, Kiambaa","KSh 14,000",/listings/2-bedroom-apartment-for-rent-ruaka-3463746,2,2,1
Estate Masters Limited,"Ruaka, Kiambaa","KSh 15,000",/listings/2-bedroom-apartment-for-rent-ruaka-3463861,2,2,1
Habitat Realtors International Ltd,"Uthiru 87, Waiyaki Way, Uthiru/Ruthimitu, Dagoretti South","KSh 15,000",/listings/1-bedroom-apartment-for-rent-uthiru-ruthimitu-3463438,45,1,1
Royani Properties Limited,"Kiambu Road, Kiambu Road","KSh 15,000",/listings/studio-apartment-for-rent-3460554,0,0,1
