City,Location,Bedrooms,Bathrooms,Parking,Price
Westlands,Spring Valley,4.0,,1.0,3000
Westlands,Westlands Area,2.0,2.0,1.0,150000
Westlands,Riverside,3.0,3.0,1.0,200000
Nairobi,Upper Hill,1.0,1.0,1.0,100000
Westlands,Brookside,4.0,3.0,1.0,120000
Westlands,Riverside,2.0,2.0,1.0,210000
Westlands,Riverside,2.0,2.0,1.0,180000
Westlands,Riverside,3.0,3.0,1.0,300000
Nairobi,Kilimani,3.0,3.0,1.0,200000
Westlands,Riverside,4.0,4.0,1.0,160000
Westlands,Riverside,3.0,3.0,1.0,325000
Westlands,Westlands Area,3.0,3.0,1.0,137000
Nairobi,Lavington,3.0,3.0,1.0,140000
Westlands,General Mathenge,3.0,3.0,1.0,330000
Westlands,Riverside,2.0,2.0,1.0,140000
Westlands,Parklands,3.0,3.0,1.0,250000
Westlands,General Mathenge,3.0,3.0,1.0,150000
Westlands,Brookside,3.0,4.0,1.0,225000
Westlands,Riverside,3.0,4.0,1.0,120000
Westlands,Parklands,3.0,3.0,1.0,300000
Westlands,Parklands,2.0,2.0,1.0,200000
Westlands,Spring Valley,2.0,2.0,1.0,150000
Westlands,Spring Valley,4.0,4.0,1.0,400000
Westlands,Spring Valley,3.0,3.0,1.0,190000
Westlands,Westlands Area,2.0,2.0,1.0,200000
Westlands,Mountain View,2.0,2.0,1.0,55000
Westlands,Rosslyn,1.0,1.0,1.0,150000
Westlands,Mountain View,3.0,3.0,1.0,60000
Westlands,Gigiri,2.0,2.0,1.0,200000
Westlands,Loresho,3.0,2.0,1.0,60000
Westlands,Westlands Area,2.0,2.0,1.0,350000
Nairobi,Kilimani,2.0,2.0,1.0,170000
Westlands,Riverside,2.0,2.0,1.0,300000
Westlands,General Mathenge,3.0,3.0,1.0,120000
Nyali,Nyali Area,3.0,4.0,1.0,120000
Nairobi,Kilimani,3.0,3.0,1.0,140000
Westlands,General Mathenge,4.0,4.0,1.0,450000
Westlands,Rosslyn,2.0,2.0,1.0,220000
Westlands,Spring Valley,4.0,4.0,1.0,450000
Nairobi,State House,3.0,3.0,1.0,350000
Nairobi,Lavington,3.0,3.0,1.0,280000
Nairobi,Kileleshwa,3.0,3.0,1.0,150000
Westlands,Westlands Area,3.0,3.0,1.0,170000
Westlands,Spring Valley,2.0,2.0,1.0,95000
Westlands,Riverside,3.0,3.0,1.0,150000
Westlands,Riverside,3.0,3.0,1.0,350000
Westlands,Runda,2.0,2.0,1.0,170000
Westlands,General Mathenge,3.0,3.0,1.0,130000
Westlands,Spring Valley,3.0,3.0,1.0,400000
Nairobi,Kileleshwa,4.0,4.0,1.0,270000
Westlands,Riverside,3.0,4.0,1.0,350000
Nairobi,Lavington,2.0,2.0,1.0,220000
Nairobi,Lavington,2.0,2.0,1.0,200000
Westlands,General Mathenge,3.0,4.0,1.0,150000
Westlands,Spring Valley,3.0,3.0,1.0,180000
Westlands,Westlands Area,3.0,4.0,1.0,250000
Westlands,Westlands Area,3.0,3.0,1.0,150000
Nairobi,Kilimani,2.0,2.0,1.0,250000
Westlands,Riverside,3.0,3.0,1.0,230000
Nairobi,Westlands,,,,
Nairobi,Kilimani,,,,
Nairobi,Lavington,3.0,3.0,1.0,220000
Westlands,Spring Valley,4.0,4.0,1.0,3300
Nairobi,Kilimani,2.0,2.0,1.0,95000
Westlands,Riverside,3.0,3.0,1.0,180000
Westlands,Westlands Area,4.0,4.0,1.0,180000
Westlands,Westlands Area,1.0,1.0,1.0,180000
Westlands,Westlands Area,2.0,2.0,1.0,180000
Westlands,Westlands Area,2.0,2.0,1.0,55000
Westlands,Westlands Area,3.0,3.0,1.0,60000
Kiambu County,Ruaka,2.0,2.0,1.0,35000
Westlands,Waiyaki Way,3.0,3.0,1.0,60000
Westlands,Waiyaki Way,2.0,2.0,1.0,55000
Westlands,Brookside,3.0,3.0,1.0,2750
Nairobi,Kiambu Road,3.0,3.0,1.0,55000
Westlands,Westlands Area,2.0,2.0,1.0,250000
Nairobi,Lavington,3.0,4.0,1.0,100000
Nairobi,Kileleshwa,3.0,4.0,1.0,110000
Nairobi,Kilimani,2.0,2.0,1.0,200000
Westlands,General Mathenge,3.0,3.0,1.0,145000
Nairobi,Kilimani,2.0,2.0,1.0,130000
Nairobi,Kilimani,3.0,2.0,1.0,85000
Nairobi,Kileleshwa,,,,
Westlands,Parklands,3.0,4.0,1.0,280000
Westlands,Westlands Area,3.0,4.0,1.0,150000
Nairobi,Thika Road,2.0,2.0,0.0,170000
Kiambu County,Kiambu Town,2.0,1.0,1.0,33000
Nairobi,Thika Road,2.0,2.0,0.0,140000
Westlands,Gigiri,3.0,3.0,1.0,250000
Kiambu County,Ruaka,2.0,2.0,1.0,50000
Nairobi,Kilimani,2.0,2.0,1.0,180000
Westlands,Westlands Area,3.0,3.0,1.0,200000
Nairobi,Riara Road,3.0,2.0,1.0,75000
Nairobi,Muthaiga,2.0,3.0,1.0,250000
Westlands,Westlands Area,3.0,3.0,1.0,85000
Westlands,Riverside,4.0,4.0,0.0,200000
Mombasa Island,Mombasa CBD,4.0,5.0,1.0,150000
Westlands,Rosslyn,2.0,2.0,1.0,200000
Nairobi,Kilimani,2.0,2.0,1.0,100000
Roysambu,Garden Estate,2.0,2.0,1.0,100000
Nairobi,Kilimani,2.0,2.0,1.0,180000
Westlands,Riverside,3.0,2.0,1.0,90000
Nyali,Nyali Area,3.0,4.0,1.0,110000
Nairobi,Kilimani,3.0,3.0,1.0,289000
Westlands,Westlands Area,2.0,2.0,1.0,140000
Kiambu County,Ruaka,2.0,,1.0,40000
Nairobi,Kileleshwa,3.0,3.0,0.0,250000
Westlands,Westlands Area,3.0,3.0,0.0,130000
Nairobi,Kilimani,3.0,3.0,1.0,160000
Westlands,Riverside,4.0,5.0,1.0,300000
Westlands,Westlands Area,3.0,4.0,1.0,75000
Westlands,Westlands Area,0.0,1.0,1.0,90000
Nairobi,Kileleshwa,3.0,3.0,1.0,135000
Westlands,Parklands,3.0,3.0,1.0,125000
Westlands,Parklands,3.0,2.0,1.0,180000
Westlands,General Mathenge,4.0,4.0,1.0,250000
Nairobi,Kilimani,3.0,4.0,1.0,230000
Nairobi,Kileleshwa,3.0,3.0,1.0,80000
Westlands,Parklands,3.0,3.0,1.0,280000
Nyali,Nyali Area,3.0,4.0,1.0,200000
Westlands,Gigiri,3.0,,1.0,180000
Mombasa Island,Mombasa CBD,3.0,3.0,1.0,75000
Nairobi,Kilimani,3.0,2.0,1.0,75000
Nairobi,Utawala,1.0,1.0,1.0,16000
Nairobi,Lavington,3.0,3.0,1.0,150000
Nairobi,Kileleshwa,3.0,4.0,0.0,130000
Machakos County,Athi River,2.0,2.0,1.0,290000
Westlands,Parklands,3.0,3.0,1.0,400000
Nairobi,Nairobi CBD,1.0,1.0,0.0,110000
Nairobi,Kileleshwa,1.0,1.0,1.0,55000
Nairobi,Kilimani,3.0,3.0,0.0,160000
Westlands,Westlands Area,3.0,3.0,1.0,300000
Westlands,Parklands,2.0,2.0,1.0,160000
Nairobi,Kileleshwa,3.0,3.0,1.0,250000
Nairobi,Kilimani,2.0,2.0,1.0,200000
Nairobi,Lavington,2.0,2.0,1.0,70000
